object_id	postal_code	mun_name	neighborhood_name	neighborhood_type	area	with_event	x_centroid	y_centroid
33749	66634	APODACA	UNIDAD HAB INDEPENDENCIA 3ER SECT	UNIDAD HABITACIONAL	3.06145013829e-06	False	-100.196	25.74
33750	66634	APODACA	VALLE DE HUINALA	UNIDAD HABITACIONAL	6.75815034699e-06	False	-100.198	25.743
33751	66634	APODACA	VALLE DE HUINALA 2DO SECT	UNIDAD HABITACIONAL	8.88214995844e-06	False	-100.2	25.741
33752	66634	APODACA	VALLE DE HUINALA 3ER SECT	UNIDAD HABITACIONAL	7.72525036625e-06	False	-100.19	25.739
33753	66634	APODACA	VALLE DE HUINALA 4TO SECT	UNIDAD HABITACIONAL	4.85955126699e-06	False	-100.187	25.742
33754	66634	APODACA	VALLE DE HUINALA 5TO SECT	UNIDAD HABITACIONAL	1.24600484732e-05	False	-100.189	25.742
33755	66634	APODACA	VALLE DE HUINALA 6TO SECT	UNIDAD HABITACIONAL	9.65920038185e-06	False	-100.193	25.743
33756	66634	APODACA	VILLAS DEL HUINALA	UNIDAD HABITACIONAL	2.89553486843e-05	False	-100.188	25.745
33757	66634	APODACA	EL MILAGRO	UNIDAD HABITACIONAL	4.05941524243e-05	False	-100.196	25.749
33758	66634	APODACA	FRACC CAMPESTRE CTM	UNIDAD HABITACIONAL	1.19632995752e-05	False	-100.196	25.737
33759	66634	APODACA	FRACC MISION DE SAN PATRICIO	UNIDAD HABITACIONAL	1.27209497564e-05	False	-100.198	25.738
33760	66635	APODACA	FRACC ENRAMADA 3ER SECT	COLONIA	1.36794998775e-05	False	-100.259	25.765
33761	66635	APODACA	FRACC ENRAMADA 4TO SECT	COLONIA	6.21645082859e-06	False	-100.255	25.765
33762	66635	APODACA	FRACC ENRAMADA 5TO SECTC	COLONIA	6.54215004391e-06	False	-100.258	25.767
33763	66635	APODACA	FRACC ENRAMADA 6TO SECT	COLONIA	8.03589805406e-06	False	-100.255	25.767
33764	66635	APODACA	FRACC ENRAMADA 7MO SECT	COLONIA	3.98949960018e-06	False	-100.256	25.764
33765	66635	APODACA	FRACC MAGNOLIAS	COLONIA	2.52055019193e-05	False	-100.255	25.774
33766	66635	APODACA	FRACC PASEO LAS PALMAS 1ER SECT	COLONIA	3.67150012384e-06	False	-100.266	25.783
33767	66635	APODACA	FRACC PASEO LAS PALMAS 2DO SECT	COLONIA	1.04337994327e-05	False	-100.265	25.775
33768	66635	APODACA	FRACC PRADERAS 1ER SECT	COLONIA	9.9298496819e-06	False	-100.26	25.772
33769	66635	APODACA	FRACC PRADERAS 2DO SECT	COLONIA	4.26599916545e-06	False	-100.257	25.771
33770	66635	APODACA	FRACC VALLE DE LAS PALMAS 1ER SECT	COLONIA	8.46755068727e-06	False	-100.267	25.78
33771	66635	APODACA	HACIENDA LAS PALMAS	COLONIA	5.33330140258e-06	False	-100.266	25.772
33772	66635	APODACA	HACIENDA LAS PALMAS 2DO SECT	COLONIA	8.91409914156e-06	False	-100.267	25.776
33773	66635	APODACA	HACIENDA LOS ENCINOS	COLONIA	7.43874988768e-06	False	-100.263	25.776
33774	66635	APODACA	HACIENDA LOS PINOS 3ER SECT	COLONIA	4.81965007815e-06	False	-100.254	25.771
33775	66635	APODACA	JARDINES DE APODACA	COLONIA	3.85105017231e-06	False	-100.263	25.772
33776	66635	APODACA	JARDINES DE LA ENRAMADA	COLONIA	2.87319977303e-06	False	-100.254	25.761
33777	66635	APODACA	LA ENRAMADA	COLONIA	2.71599993786e-06	False	-100.256	25.761
33778	66635	APODACA	LOS FRESNOS 2DO SECT	COLONIA	8.92360188386e-06	False	-100.253	25.769
33779	66635	APODACA	LOS FRESNOS 3ER SECT	COLONIA	5.32000027927e-06	False	-100.252	25.767
33780	66635	APODACA	LOS FRESNOS INFONAVIT	COLONIA	1.09866502355e-05	False	-100.258	25.769
33781	66635	APODACA	NUEVA DEMOCRACIA	COLONIA	4.74649982906e-06	False	-100.264	25.779
33782	66635	APODACA	PASEO DE LAS PALMAS 3ER SECT	COLONIA	3.25080025862e-06	False	-100.265	25.779
33783	66635	APODACA	PASEO DE LAS PALMAS 4TO SECT	COLONIA	3.96534985042e-06	False	-100.265	25.781
33784	66635	APODACA	RES LOS ROBLES	COLONIA	4.48708009756e-05	True	-100.261	25.779
33785	66635	APODACA	VILLA LUZ	COLONIA	7.000599236e-06	False	-100.265	25.765
33786	66635	APODACA	VILLA SOL	COLONIA	1.41691496987e-05	False	-100.265	25.769
33787	66635	APODACA	FOMERREY 4	COLONIA	2.72564491684e-05	False	-100.262	25.767
33788	66635	APODACA	FRACC CORTIJO LAS PALMAS	COLONIA	3.4346989231e-06	False	-100.265	25.787
