,source,target,weight
1062,33725,33901,1
1063,33725,34029,1
1064,33725,34286,1
1065,33725,34298,1
1066,33725,34454,1
1067,33725,34590,1
1068,33725,35266,1
1069,33725,35360,1
1070,33725,35376,1
1071,33725,35395,1
1072,33725,35532,1
1073,33725,35629,1
1074,33725,35656,1
1075,33725,35973,1
1076,33725,36001,1
1077,33725,36134,1
1078,33726,34231,1
1079,33726,34955,1
1080,33726,35088,1
1081,33726,35483,1
1082,33727,33774,1
1083,33727,33784,1
1084,33727,33813,2
1085,33727,33823,1
1086,33727,33843,1
1087,33727,33844,1
1088,33727,33851,1
1089,33727,33913,1
1090,33727,34066,2
1091,33727,34090,1
1092,33727,34212,1
1093,33727,34236,1
1094,33727,34418,1
1095,33727,34461,1
1096,33727,34519,1
1097,33727,34553,1
1098,33727,34614,2
1099,33727,34713,2
1100,33727,34719,1
1101,33727,34750,2
1102,33727,34955,5
1103,33727,34961,1
1104,33727,34975,1
1105,33727,34978,1
1106,33727,34979,1
1107,33727,34990,1
1108,33727,35038,2
1109,33727,35080,1
1110,33727,35084,1
1111,33727,35123,1
1112,33727,35133,2
1113,33727,35152,1
1114,33727,35162,1
1115,33727,35178,1
1116,33727,35207,1
1117,33727,35238,1
1118,33727,35250,1
1119,33727,35264,1
1120,33727,35376,3
1121,33727,35404,1
1122,33727,35406,1
1123,33727,35420,2
1124,33727,35453,2
1125,33727,35587,1
1126,33727,35637,1
1127,33727,35825,1
1128,33727,35860,2
1129,33727,35872,1
1130,33727,36128,1
1131,33727,36257,1
1132,33727,36380,1
1133,33727,36404,1
1134,33727,36472,1
1135,33727,36476,1
1136,33729,33742,1
1137,33729,33901,1
1138,33729,34018,1
1139,33729,34287,1
1140,33729,34358,1
1141,33729,34648,1
1142,33729,34681,1
1143,33729,34955,1
1144,33729,34958,1
1145,33729,34961,1
1146,33729,35009,1
1147,33729,35050,1
1148,33729,35121,1
1149,33729,35377,1
1150,33729,35393,1
1151,33729,35716,1
1152,33729,35915,1
1153,33729,36377,1
1154,33730,33784,1
1155,33730,33844,1
1156,33730,34090,1
1157,33730,34713,1
1158,33730,34955,2
1159,33730,34961,1
1160,33730,34979,1
1161,33730,35080,1
1162,33730,35084,1
1163,33730,35152,1
1164,33730,35207,1
1165,33730,35238,1
1166,33730,35264,1
1167,33730,35376,1
1168,33730,35404,1
1169,33730,35406,1
1170,33730,36128,1
1171,33730,36257,1
1172,33730,36380,1
1173,33733,33953,1
1174,33733,34041,1
1175,33733,34313,1
1176,33733,34315,1
1177,33733,34375,1
1178,33733,34502,1
1179,33733,34536,1
1180,33733,34677,1
1181,33733,34751,1
1182,33733,34955,1
1183,33733,35064,1
1184,33733,35079,1
1185,33733,35246,1
1186,33733,35253,1
1187,33733,35264,1
1188,33733,35267,1
1189,33733,35330,1
1190,33733,35629,1
1191,33733,35716,1
1192,33733,36311,1
1193,33736,33953,1
1194,33736,34270,1
1195,33736,34298,1
1196,33736,34955,2
1197,33736,35169,1
1198,33736,35172,1
1199,33736,35454,1
1200,33736,35640,1
1201,33742,33953,1
1202,33742,34041,1
1203,33742,34359,1
1204,33742,34565,1
1205,33742,34643,1
1206,33742,34648,1
1207,33742,35068,1
1208,33742,35264,1
1209,33742,35305,1
1210,33742,35424,1
1211,33742,35696,1
1212,33742,36014,1
1213,33742,36426,1
1214,33743,33811,1
1215,33743,33817,1
1216,33743,33829,1
1217,33743,33901,1
1218,33743,34034,1
1219,33743,34080,1
1220,33743,34279,1
1221,33743,34495,1
1222,33743,34515,1
1223,33743,34536,1
1224,33743,34581,1
1225,33743,34713,2
1226,33743,34955,2
1227,33743,35061,1
1228,33743,35102,1
1229,33743,35133,1
1230,33743,35146,1
1231,33743,35243,1
1232,33743,35289,1
1233,33743,35358,1
1234,33743,35376,1
1235,33743,35384,1
1236,33743,35514,1
1237,33743,35545,1
1238,33743,35588,1
1239,33743,35629,1
1240,33743,35645,1
1241,33743,35687,1
1242,33743,35836,1
1243,33743,36059,1
1244,33743,36061,1
1245,33743,36459,1
1246,33746,33901,1
1247,33746,34061,1
1248,33746,34230,1
1249,33746,34279,1
1250,33746,34298,1
1251,33746,34683,1
1252,33746,34742,1
1253,33746,35036,1
1254,33746,35050,1
1255,33746,35087,1
1256,33746,35123,1
1257,33746,35376,1
1258,33746,35532,1
1259,33746,36375,1
1260,33752,33901,1
1261,33752,34369,1
1262,33752,34794,1
1263,33752,35083,1
1264,33752,35247,1
1265,33752,35376,1
1266,33752,35414,1
1267,33752,35633,1
1268,33762,33774,1
1269,33762,34236,1
1270,33762,34418,1
1271,33762,34461,1
1272,33762,34519,1
1273,33762,35162,1
1274,33762,35376,1
1275,33762,36404,1
1276,33763,33805,1
1277,33763,33836,1
1278,33763,33901,1
1279,33763,33925,1
