year,date,lat,lon,news,cassualties,url,neighborhood,x,y,cve_mun,nom_mun,cve_loc,nom_loc
2015,2015-10-16,25.7659068,-100.364755,Asesinan a taxista,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=670273&v=2&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=670273&v=2&flow_type=paywall,DIF FOMERREY 15,2663265.2262951382,1524958.0576726636,39,Monterrey,1,Monterrey
2015,2015-10-19,25.7591211,-100.1920355,Asesinan y queman a hombre maniatado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=672260&v=3&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=672260&v=3&flow_type=paywall,PARQUE INDUSTRIAL ALMACENTRO,2680518.352997843,1524416.9070477604,6,Apodaca,1,Ciudad Apodaca
2015,2015-10-16,25.877287,-100.120931,Hallan en brecha a 2 ejecutados,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=670269&v=4&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=670269&v=4&flow_type=paywall,,2687446.7550653387,1537536.9946444242,25,General Zuazua,1,General Zuazua
2015,2015-12-30,25.563196,-100.024872,Lo torturan y ejecutan en Cadereyta,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=730732&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=730732,NUEVA MADERO,2697505.4604976177,1503037.4983171246,9,Cadereyta Jiménez,1,Cadereyta Jiménez
2015,2015-12-01,25.5867158,-100.0098857,Matan en casa a un ex policía,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=710372&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=710372&v=4,GALINDO,2698967.959419338,1505650.950992124,9,Cadereyta Jiménez,1,Cadereyta Jiménez
2015,2015-12-15,25.6648892,-100.0945886,Cumplen amenaza; ejecutan a una joven,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=721261&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=721261&v=4,LOMAS DEL SOL,2690385.5277095255,1514153.8955267225,31,Juárez,1,Ciudad Benito Juárez
2015,2015-12-31,25.7121515,-100.2716112,Hincan y matan a dos jóvenes,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=731235&v=3&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=731235&v=3,CONSTITUYENTES DE QUERETARO SECT 6,2672635.8275691774,1519140.4222317322,46,San Nicolás de los Garza,1,San Nicolás de los Garza
2016,2016-01-06,25.6828717,-100.4265403,Ejecutan a un joven al cenar en taquería,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=735202,LA FAMA 4,2657197.18741865,1515734.1691160437,48,Santa Catarina,1,Ciudad Santa Catarina
2016,2016-01-09,25.6901218,-100.4208135,Arde enero: ahora desatan una masacre,5.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=737558&v=5,LOMAS DE LA FAMA,2657760.501170408,1516539.779381691,48,Santa Catarina,1,Ciudad Santa Catarina
2016,2016-01-07,25.672447,-100.4027945,Lo mata a balazos un encapuchado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=736195,LUCIO BLANCO 2DO SECT,2659582.2246695138,1514611.0812336924,19,San Pedro Garza García,1,San Pedro Garza García
2016,2016-01-19,25.7242041,-100.3294442,Lanzan de camioneta a hombre asesinado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=745317,CONSTITUYENTES DEL 57,2666844.108758814,1520400.792929598,39,Monterrey,1,Monterrey
2016,2016-01-21,25.754808800000006,-100.374865,Lo alcanzan en auto para matarlo a tiros,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=747573,SAN BERNABE FOMERREY 25,2662269.738451442,1523722.9641181682,39,Monterrey,1,Monterrey
2016,2016-01-08,25.740914,-100.345029,Ejecutan a 4 en 4 horas,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=736989&v=3,CARMEN SERDAN,2665266.4108622023,1522225.066731388,39,Monterrey,1,Monterrey
