year,date,lat,lon,news,cassualties,url,object_id,postal_code,mun_name,neighborhood_name,neighborhood_type,area
2015,2015-10-24,25.61768,-100.25935,Alcanzan taxi y ejecutan a 2,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=677141&v=2&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=677141&v=2&flow_type=paywall,35483,64878.0,MONTERREY,EJIDAL LOS REMATES,COLONIA,4.24150224827e-05
2015,2015-10-29,25.6836728,-100.3264108,A �l lo ejecutan; a ella la levantan,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=681393&v=6&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=681393&v=6&flow_type=paywall,34955,64000.0,MONTERREY,CENTRO DE MONTERREY,COLONIA,0.000716583798616
2015,2015-10-18,25.6883755,-100.3257195,Ejecutan a dos desde veh�culos en marcha,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=671501&v=3&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=671501&v=3&flow_type=paywall,35172,64299.0,MONTERREY,INDUSTRIAL,FRACCIONAMIENTO,0.00011863483304899997
2015,2015-10-16,25.7659068,-100.364755,Asesinan a taxista,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=670273&v=2&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=670273&v=2&flow_type=paywall,35088,64217.0,MONTERREY,DIF FOMERREY 15,FRACCIONAMIENTO,4.94789986027e-06
2015,2015-10-19,25.7591211,-100.1920355,Asesinan y queman a hombre maniatado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=672260&v=3&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=672260&v=3&flow_type=paywall,33726,66633.0,APODACA,PARQUE INDUSTRIAL ALMACENTRO,COLONIA,4.20550997115e-05
2015,2015-10-16,25.877287,-100.120931,Hallan en brecha a 2 ejecutados,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=670269&v=4&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=670269&v=4&flow_type=paywall,34231,65750.0,GENERAL ZUAZUA,PEDRO MARTINEZ,VILLA,6.20008852818e-05
2015,2015-12-30,25.563196,-100.024872,Lo torturan y ejecutan en Cadereyta,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=730732&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=730732,33937,67485.0,CADEREYTA JIMÉNEZ,NUEVA MADERO,COLONIA,5.48546036548e-05
2015,2015-12-01,25.5867158,-100.0098857,Matan en casa a un ex polic�a,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=710372&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=710372&v=4,33935,67485.0,CADEREYTA JIMÉNEZ,GALINDO,COLONIA,2.05299001397e-05
2015,2015-12-15,25.6648892,-100.0945886,Cumplen amenaza; ejecutan a una joven,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=721261&v=4&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=721261&v=4,34719,67254.0,JUÁREZ,LOMAS DEL SOL,FRACCIONAMIENTO,0.0004270740537340001
2015,2015-12-31,25.7121515,-100.2716112,Hincan y matan a dos j�venes,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=731235&v=3&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=731235&v=3,35941,66490.0,SAN NICOLÁS DE LOS GARZA,CONSTITUYENTES DE QUERETARO SECT 6,UNIDAD HABITACIONAL,5.64792016194e-05
2016,2016-01-06,25.6828717,-100.4265403,Ejecutan a un joven al cenar en taquer�a,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=735202,36245,66115.0,SANTA CATARINA,LA FAMA 4,COLONIA,1.38260990542e-05
2016,2016-01-09,25.6901218,-100.4208135,Arde enero: ahora desatan una masacre,5.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=737558&v=5,36256,66119.0,SANTA CATARINA,LOMAS DE LA FAMA,COLONIA,1.75309760602e-05
2016,2016-01-07,25.672447,-100.4027945,Lo mata a balazos un encapuchado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=736195,35991,66218.0,SAN PEDRO GARZA GARCÍA,LUCIO BLANCO 2DO SECT,COLONIA,3.94768876476e-06
2016,2016-01-19,25.7242041,-100.3294442,Lanzan de camioneta a hombre asesinado,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=745317,35145,64260.0,MONTERREY,CONSTITUYENTES DEL 57,COLONIA,2.41683473367e-05
2016,2016-01-21,25.75480880000001,-100.374865,Lo alcanzan en auto para matarlo a tiros,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=747573,35009,64107.0,MONTERREY,SAN BERNABE FOMERREY 25,COLONIA,9.89250068539e-05
2016,2016-01-08,25.740914,-100.345029,Ejecutan a 4 en 4 horas,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=736989&v=3,35136,64258.0,MONTERREY,CARMEN SERDAN,COLONIA,2.81716498513e-05
2016,2016-01-16,25.6579421,-100.320979,Muere mujer baleada,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=743024,35376,64720.0,MONTERREY,INDEPENDENCIA,FRACCIONAMIENTO,0.000221969402392
2016,2016-01-04,25.6630694,-100.3199932,Acribillan a travesti en la Independencia,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=733439&v=2,35376,64720.0,MONTERREY,INDEPENDENCIA,FRACCIONAMIENTO,0.000221969402392
