,OBJECTID,POSTALCODE,ST_NAME,MUN_NAME,SETT_NAME,SETT_TYPE,WITH_EVENT,x_centroid,y_centroid
187,33711,66632,NUEVO LEON,APODACA,VALLE DEL MEZQUITAL,COLONIA,True,-100.233,25.749
188,33712,66632,NUEVO LEON,APODACA,BALCONES DEL MEZQUITAL,COLONIA,True,-100.238,25.753
189,33713,66632,NUEVO LEON,APODACA,CANTU,COLONIA,False,-100.238,25.749
190,33714,66632,NUEVO LEON,APODACA,HACIENDA DEL MEZQUITAL,COLONIA,True,-100.223,25.762
191,33715,66633,NUEVO LEON,APODACA,FRACC DEPORTIVO HUINALA 3ER SECT,COLONIA,False,-100.184,25.732
192,33716,66633,NUEVO LEON,APODACA,FRACC LOS ALAMOS 1ER SECT,COLONIA,False,-100.187,25.736
193,33717,66633,NUEVO LEON,APODACA,FRACC LOS ALAMOS 2DO SECT,COLONIA,False,-100.188,25.737
194,33718,66633,NUEVO LEON,APODACA,FRACC LOS ALAMOS 3ER SECT,COLONIA,False,-100.188,25.738
195,33719,66633,NUEVO LEON,APODACA,FRACC PRIVADAS DEL PARQUE,COLONIA,False,-100.224,25.743
196,33720,66633,NUEVO LEON,APODACA,FRACC SAN IGNACIO,COLONIA,False,-100.186,25.738
197,33721,66633,NUEVO LEON,APODACA,KALOS,COLONIA,True,-100.206,25.759
198,33722,66633,NUEVO LEON,APODACA,LA ENCARNACION,COLONIA,True,-100.204,25.738
199,33723,66633,NUEVO LEON,APODACA,MIRADOR HUINALA,COLONIA,False,-100.184,25.735
200,33724,66633,NUEVO LEON,APODACA,NORIA NORTE,COLONIA,True,-100.192,25.735
201,33725,66633,NUEVO LEON,APODACA,NORIA SUR,COLONIA,True,-100.194,25.732
202,33726,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL ALMACENTRO,COLONIA,True,-100.192,25.756
203,33727,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL APODACA ASTEC,COLONIA,True,-100.187,25.766
204,33728,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL DANFOS,COLONIA,False,-100.2,25.755
205,33729,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL INTERPARK,COLONIA,True,-100.213,25.738
206,33730,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL LA ALIANZA,COLONIA,True,-100.208,25.744
207,33731,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL METALSA,COLONIA,False,-100.203,25.75
208,33732,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL MEXICO,COLONIA,False,-100.201,25.734
209,33733,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL PANASONIC,COLONIA,True,-100.217,25.746
210,33734,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL REGIO PARQUE,COLONIA,False,-100.213,25.745
211,33735,66633,NUEVO LEON,APODACA,PARQUE INDUSTRIAL VITRO,COLONIA,False,-100.207,25.752
212,33736,66633,NUEVO LEON,APODACA,RES HUINALA,COLONIA,True,-100.18,25.74
213,33737,66633,NUEVO LEON,APODACA,TITAN,COLONIA,False,-100.219,25.742
214,33738,66633,NUEVO LEON,APODACA,VALLE DE LOS ALAMOS,COLONIA,False,-100.188,25.732
215,33739,66633,NUEVO LEON,APODACA,ALAMOS DEL PARQUE,COLONIA,False,-100.186,25.734
216,33740,66633,NUEVO LEON,APODACA,FRACC DEPORTIVO HUINALA,COLONIA,False,-100.179,25.734
217,33741,66633,NUEVO LEON,APODACA,FRACC DEPORTIVO HUINALA 2DO SECT,COLONIA,False,-100.183,25.733
218,33742,66634,NUEVO LEON,APODACA,FRACC PRIVADAS PREMIER (VALLE REAL),UNIDAD HABITACIONAL,True,-100.199,25.746
219,33743,66634,NUEVO LEON,APODACA,INDEPENDENCIA CROC,UNIDAD HABITACIONAL,True,-100.192,25.74
220,33744,66634,NUEVO LEON,APODACA,JACARANDAS,UNIDAD HABITACIONAL,False,-100.186,25.747
221,33745,66634,NUEVO LEON,APODACA,LAS PROVINCIAS,UNIDAD HABITACIONAL,False,-100.201,25.739
222,33746,66634,NUEVO LEON,APODACA,PARQUE INDUSTRIAL MARTEL,UNIDAD HABITACIONAL,True,-100.189,25.75
223,33747,66634,NUEVO LEON,APODACA,UNIDAD HAB INDEPENDENCIA 1RA SECC,UNIDAD HABITACIONAL,False,-100.194,25.741
224,33748,66634,NUEVO LEON,APODACA,UNIDAD HAB INDEPENDENCIA 2DO SECT,UNIDAD HABITACIONAL,False,-100.196,25.742
225,33749,66634,NUEVO LEON,APODACA,UNIDAD HAB INDEPENDENCIA 3ER SECT,UNIDAD HABITACIONAL,False,-100.196,25.74
226,33750,66634,NUEVO LEON,APODACA,VALLE DE HUINALA,UNIDAD HABITACIONAL,False,-100.198,25.743
227,33751,66634,NUEVO LEON,APODACA,VALLE DE HUINALA 2DO SECT,UNIDAD HABITACIONAL,False,-100.2,25.741
228,33752,66634,NUEVO LEON,APODACA,VALLE DE HUINALA 3ER SECT,UNIDAD HABITACIONAL,True,-100.19,25.739
229,33753,66634,NUEVO LEON,APODACA,VALLE DE HUINALA 4TO SECT,UNIDAD HABITACIONAL,False,-100.187,25.742
230,33754,66634,NUEVO LEON,APODACA,VALLE DE HUINALA 5TO SECT,UNIDAD HABITACIONAL,False,-100.189,25.742
231,33755,66634,NUEVO LEON,APODACA,VALLE DE HUINALA 6TO SECT,UNIDAD HABITACIONAL,False,-100.193,25.743
232,33756,66634,NUEVO LEON,APODACA,VILLAS DEL HUINALA,UNIDAD HABITACIONAL,False,-100.188,25.745
233,33757,66634,NUEVO LEON,APODACA,EL MILAGRO,UNIDAD HABITACIONAL,False,-100.196,25.749
234,33758,66634,NUEVO LEON,APODACA,FRACC CAMPESTRE CTM,UNIDAD HABITACIONAL,False,-100.196,25.737
235,33759,66634,NUEVO LEON,APODACA,FRACC MISION DE SAN PATRICIO,UNIDAD HABITACIONAL,False,-100.198,25.738
236,33760,66635,NUEVO LEON,APODACA,FRACC ENRAMADA 3ER SECT,COLONIA,False,-100.259,25.765
237,33761,66635,NUEVO LEON,APODACA,FRACC ENRAMADA 4TO SECT,COLONIA,False,-100.255,25.765
238,33762,66635,NUEVO LEON,APODACA,FRACC ENRAMADA 5TO SECTC,COLONIA,True,-100.258,25.767
239,33763,66635,NUEVO LEON,APODACA,FRACC ENRAMADA 6TO SECT,COLONIA,True,-100.255,25.767
