		Total	Abasolo	Agualeguas	Los Aldamas	Allende	Anahuac	Apodaca	Aramberri	Bustamante	Cadereyta Jimenez	El Carmen	Cerralvo	Cienega de Flores	China	Doctor Arroyo	Doctor Coss	Doctor Gonzalez	Galeana	Garcia	San Pedro Garza Garcia	General Bravo	General Escobedo	General Teran	General Treviño	General Zaragoza	General Zuazua	Guadalupe	Los Herreras	Higueras	Hualahuises	Iturbide	Juarez	Lampazos de Naranjo	Linares	Marin	Melchor Ocampo	Mier y Noriega	Mina	Montemorelos	Monterrey	Parás	Pesquería	Los Ramones	Rayones	Sabinas Hidalgo	Salinas Victoria	San Nicolás de los Garza	Hidalgo	Santa Catarina	Santiago	Vallecillo	Villaldama
2011	Agosto	2326		10		3		17			17				6				1	1	1	1	4	1				17					3							3	103		2				1	11		3	11		
2011	Septiembre	2102	1					9			12		1	8					1	1			7					14					7		1		1				55		1	2		2		12		2	8		
2011	Octubre	2285				1		12			17		2					3	1		3		6	1				6					5		1					3	73	14				3	2	18	1	2	4	27	
2011	Noviembre	2012				1	1	9			11	4	1		1	1			1	3	3	1	6	1		1		22					3		1					2	57		3			1		5		2	2		
2011	Diciembre	2140	1					9			3	2			1	1							3	3			3	8					1			1				9	40					2		2	1	1	2	2	
2011	No especificado	111									1																	2															1								1		
2012	Total	25967	2		11	19	8	160	5		229	5	23	7	9	4	2	1	5	31	7	2	61	4			3	103	6	2		1	124	4	18	5			8	39	685	4	14			10	15	79	8	54	21	24	
2012	Enero	2164				1		12			11		5							2			5					16					5							2	77		1				2	3		8	3	2	
2012	Febrero	1892					2	62			9	1	2	1		1				3			10					7					9		1						92					1	3	9		2			
2012	Marzo	2211			9	4		27	1		34		1	1	1	1	2		3	4	2	1	4	1				1	6				25						7	2	64							13	3		3		
2012	Abril	2251						8			31		6							3	1		1					14		1			14	1	5					5	49		2					6	3	6	3	4	
2012	Mayo	2377				7	1	4	1		103	2	2		4					2			1	1				12				1	1	1	3	1				3	38	1	2			2		6		4	2		
2012	Junio	2240				1					14								1	4			4					5					7	1	1	3				10	41		1			1		5		1			
2012	Julio	2158	1			1	2	8			4				1	1				1	1		3					3					16		1						53					2	2	3	1	3			
2012	Agosto	2234					2	7			4		4	2		1				4	2		13	1				8					9	1					1	3	90		8			1	3	6	1	12	2		
2012	Septiembre	2381					1	15			8			2					1	2	1		2	1				5					7		1						71						2	7		7	3		
2012	Octubre	1925			2	5		7			3	1								3			7				1	14		1			21		1	1				1	34	3					1	8		3	4	17	
2012	Noviembre	1844	1					2	3		1		1	1	3					1			4					5					6							5	21							4		1	1		
2012	Diciembre	2150						8			7	1	2					1		2		1	7				2	13					4		5					8	55					3	2	9		7		1	
2012	No especificado	140																																																			
2013	Total	23063	1			3	16	73		1	55	5	5	5	6	13		3	5	29	3		33	2			1	56	1				78		17	5			20	9	341		12		1	8	20	48	2	39	9	4	
2013	Enero	1970					1	8			5			2						1			3					4					6		3				18	1	55							2	1	4	2		
2013	Febrero	1702					2	7							1					2	1		5					1					4								50						1	1		2			
2013	Marzo	2107						3			3			1		2			1	2			1	1				2					2		2	1			2	2	21		3				1	2		4	4		
2013	Abril	2077				2		9			21									3			4				1	18					9		2					3	36		2		1		2	7		1			
2013	Mayo	1969					2	6			9				3	1				1			1					7					4			4				1	21					1		4		3		2	
2013	Junio	1875					1	6			2				1	1			2	4			2					6					19		2						22					2	8	2			1		
2013	Julio	1846					2	7			2					1			1	3			7					2					14		1					2	15		4			2		8		5		1	
2013	Agosto	1882					4	5		1	1	1		1						4	1		2					3					2		4						17						4	6		7	1		
2013	Septiembre	1842	1			1		5			3	1							1	3			1					3					6								33						4	3		4	1		
2013	Octubre	1892					1	5										3										4					7		1						20		1			1		8		7			
2013	Noviembre	1755						3			2	2	5		1					1			3	1				3	1				2								17		1			1		4	1				
2013	Diciembre	2040					1	9			7	1				8				5	1		4					3					3		2						33		1			1		1		2		1	
2013	No especificado	106					2							1																											1												
2014	Total	20010		4	2	2	10	35			33	9	2	6	7	5	1	5	2	27	3	2	21			1	4	36					39	1	10	2				8	177	1	13	4	1	9	25	26		35	1	5	
2014	Enero	1723			1	1		1			4							1					2					2					6		3						21		1			1		3		1			
2014	Febrero	1596						7			2	1		2	3		1			8	3		1					4							1						17						1			1			
2014	Marzo	1780					2	4			4	2		1		2						1					1	4					3		1	1				2	14				1	1	6	5					
2014	Abril	1681					2	3			7			1		1							3					3					4			1				1	20					2		2		7	1		
2014	Mayo	1804				1		5			2									2			2					4					4								14							6		5			
2014	Junio	1557			1		1	1				2										1	1										4		1					1	14		4	3		1	6			2			
2014	Julio	1580						4			1	1	1					4	1	6			1					3					3		1						15		1			1		2		1		3	
2014	Agosto	1578					3	1			2				3					2			1				1	5					1								14	1	1			2		1		3			
2014	Septiembre	1568		2			1	4												2			3			1	1	3					5	1	2					2	8		2				3	1		5			
2014	Octubre	1643						2			1	2		1						2			4					1					4							1	15		1	1				1		2			
2014	Noviembre	1557		2							3	1							1				2					2					2		1					1	16		2			1	8	1		3		2	
2014	Diciembre	1772					1	3			7		1	1	1	2				5			1				1	5					3								9		1				1	4		5			
2014	No especificado	171																																																			
2015	Total	20762		5	1	3	10	28	1	2	36	3		2	4	3			5	23	8	3	21	2	2		4	24					26		4	3			1	2	181		5			6	9	8		34	2	2	
2015	Enero	1606						1			4												4					4					5		1	3					9		1				1			6			
2015	Febrero	1473					3	3		1	2			1						2			2					1													12							1		4			
2015	Marzo	1579						2			1								3				5					3					1								14		1					1		6			
2015	Abril	1728						4			5	1		1									1	1	2			2					2								14						1	1		4			
2015	Mayo	1821				2	3	5			4	1								1		1	2	1				2					2								7					3	4	1		5		1	
2015	Junio	1673		3			1	3			2									9	6							2					4								21		1				1			2		1	
2015	Julio	1758					1	2		1	1	1								2			3					1					4		1					2	12					2		1		1			
2015	Agosto	1831						2			4									2			3				1	2					1		1						22									2	1		
2015	Septiembre	1725					1				7				1				1	4	1		1					1					2								27		2					1					
2015	Octubre	1727						1			2				3				1	1							3	4					2								25						1	2		2			
2015	Noviembre	1763		2			1	3	1							3						1											1		1						8					1				2			
2015	Diciembre	1897			1	1		2			4									2	1	1						2					2						1		10						1				1		
2015	No especificado	181																																																			
2016	Total	24559	1	2		7	5	34			19	2	2	14	13	6			3	27	11	4	22	1			5	45					29	4	5				1	8	246		9			1	7	42	2	37	7	3	3
2016	Enero	1739		2				3			2			2	2	3				1	1							3					3								12		2					2		6			
2016	Febrero	1678						1			1			1	6					1	1		2					2					3						1	2	63		1					1	2	2		1	
2016	Marzo	1761						2			2				2				1	1			6				1	2					2								14		2					1		3		1	
2016	Abril	1894				1		8			2	1			1	2			1	4	1		2				1	2						2	1						12						1	3		3			
2016	Mayo	2066					2	4			1			2					1		2		3				2	5					6		1					1	20					1	1	7		2			
2016	Junio	1983				2		3			1			1						1								5					2							2	14		1					4		2			
2016	Julio	2256						3			3		1	1						8	2		1	1				6					2	2						1	22						1	6		4	3		
2016	Agosto	2229	1					4			2			2		1				3		3	1					1					2		1						17						2	3		3	1		
2016	Septiembre	2297					1				3		1	1	1					2			1					7					4		2					1	23		1				1	5		2	3	1	1
2016	Octubre	2166				3		2			1			3						1	4	1						2					3							1	25		2					9		2			1
2016	Noviembre	2138				1		2			1	1		1						2			4					4					1								10							1		7			
2016	Diciembre	2214					2	2							1					3			2				1	6					1								14						1			1			1
2016	No especificado	138																																																			
2017	Total	32079		3		5	5	34			56	6	2	18	7	2	1		1	46	10	2	59				2	52					34	1	7			1	1	9	193		16	3			21	20	2	37	6	1	1
2017	Enero	2448				2		3			1			3	1					1			4					1					2							1	12						2	1		3			
2017	Febrero	2293						4						1	2					1	1		2					6					4								22						1	4	1	2	1		1
2017	Marzo	2476						2			2	1		2						2	1		11					4					2								10		1	1			5	3		6			
2017	Abril	2480				1		5			7			3						1	1		7					2					5							1	11		6	2			3	2		2	1		
2017	Mayo	2707						3			4		1		1					5	4		4					6					4		1					2	17							2		1	1	1	
2017	Junio	2903		1				2			8	1		1	1					5			11					8					2	1							21							1		9			
2017	Julio	2677					3				1	2		3	1		1			17	2	2	4				1	4					4		1						14		2				7	1		2			
2017	Agosto	2614						2			1			1	1	1				5	1		2					5					2		2				1	1	12								1	1	1		
2017	Septiembre	2802						3			4			1						3			5				1	6					3							1	21		4				1	3		4	1		
2017	Octubre	2937						5			20					1							1					2					4		1						22		1				1	1		3			
2017	Noviembre	2764		2			1	3			2	2								6			6					3					2		1					3	21							1		4	1		
2017	Diciembre	2808				2	1	2			6		1	3					1				2					5							1			1			10		2				1	1					
2017	No especificado	170																																																			
2018	Total	36685			1	2	14	57	1		36	8	3	16	6	1	1	8	6	35	12	1	42	2	1		7	66					57	2	5	3	1		1	5	323	1	6	1		3	21	39	1	37	5	2	1
2018	Enero	2833				1		3			2				1		1			1	1		3				1								1	1				2	17						1	10		6			
