,source,target,week_id,week_date
604,33901,36014,4,2011-01-30
605,33901,36426,4,2011-01-30
606,34018,34565,4,2011-01-30
607,34018,36014,4,2011-01-30
608,34018,36426,4,2011-01-30
609,34358,34565,4,2011-01-30
610,34358,36014,4,2011-01-30
611,34358,36426,4,2011-01-30
612,34565,34955,4,2011-01-30
613,34565,34958,4,2011-01-30
614,34565,34961,4,2011-01-30
615,34565,35121,4,2011-01-30
616,34565,35915,4,2011-01-30
617,34565,36377,4,2011-01-30
618,34955,36014,4,2011-01-30
619,34955,36426,4,2011-01-30
620,34958,36014,4,2011-01-30
621,34958,36426,4,2011-01-30
622,34961,36014,4,2011-01-30
623,34961,36426,4,2011-01-30
624,35121,36014,4,2011-01-30
625,35121,36426,4,2011-01-30
626,35915,36014,4,2011-01-30
627,35915,36426,4,2011-01-30
628,36014,36377,4,2011-01-30
629,36377,36426,4,2011-01-30
630,33609,34287,5,2011-02-06
631,33609,34648,5,2011-02-06
632,33609,34681,5,2011-02-06
633,33609,35009,5,2011-02-06
634,33609,35050,5,2011-02-06
635,33609,35377,5,2011-02-06
636,33609,35393,5,2011-02-06
637,33609,35716,5,2011-02-06
638,33654,34287,5,2011-02-06
639,33654,34648,5,2011-02-06
640,33654,34681,5,2011-02-06
641,33654,35009,5,2011-02-06
642,33654,35050,5,2011-02-06
643,33654,35377,5,2011-02-06
644,33654,35393,5,2011-02-06
645,33654,35716,5,2011-02-06
646,33707,34287,5,2011-02-06
647,33707,34648,5,2011-02-06
648,33707,34681,5,2011-02-06
649,33707,35009,5,2011-02-06
650,33707,35050,5,2011-02-06
651,33707,35377,5,2011-02-06
652,33707,35393,5,2011-02-06
653,33707,35716,5,2011-02-06
654,33710,34287,5,2011-02-06
655,33710,34648,5,2011-02-06
656,33710,34681,5,2011-02-06
657,33710,35009,5,2011-02-06
658,33710,35050,5,2011-02-06
659,33710,35377,5,2011-02-06
660,33710,35393,5,2011-02-06
661,33710,35716,5,2011-02-06
662,33729,34287,5,2011-02-06
663,33729,34648,5,2011-02-06
664,33729,34681,5,2011-02-06
665,33729,35009,5,2011-02-06
666,33729,35050,5,2011-02-06
667,33729,35377,5,2011-02-06
668,33729,35393,5,2011-02-06
669,33729,35716,5,2011-02-06
670,34287,34565,5,2011-02-06
671,34287,36014,5,2011-02-06
672,34287,36426,5,2011-02-06
673,34565,34648,5,2011-02-06
674,34565,34681,5,2011-02-06
675,34565,35009,5,2011-02-06
676,34565,35050,5,2011-02-06
677,34565,35377,5,2011-02-06
678,34565,35393,5,2011-02-06
679,34565,35716,5,2011-02-06
680,34648,36014,5,2011-02-06
681,34648,36426,5,2011-02-06
682,34681,36014,5,2011-02-06
683,34681,36426,5,2011-02-06
684,35009,36014,5,2011-02-06
685,35009,36426,5,2011-02-06
686,35050,36014,5,2011-02-06
687,35050,36426,5,2011-02-06
688,35377,36014,5,2011-02-06
689,35377,36426,5,2011-02-06
690,35393,36014,5,2011-02-06
691,35393,36426,5,2011-02-06
692,35716,36014,5,2011-02-06
693,35716,36426,5,2011-02-06
694,33651,34287,6,2011-02-13
