source,target,weight
33813,35453,1
33813,35860,1
33814,33901,1
33814,33944,1
33814,34066,1
33814,34373,1
33814,34768,1
33814,34776,1
33814,35030,1
33814,35096,1
33814,35285,1
33814,35362,2
33814,35384,1
33814,35482,1
33814,35545,1
33814,35937,1
33814,36399,1
33815,33923,1
33815,34041,1
33815,34625,1
33815,35498,1
33815,35641,1
33815,35712,1
33817,34080,1
33817,34495,1
33817,34536,1
33817,34713,1
33817,35061,1
33817,35102,1
33817,35133,1
33817,35146,1
33817,35384,1
33817,36059,1
33820,33840,1
33820,34045,1
33820,34118,1
33820,34261,1
33820,34291,1
33820,34527,1
33820,34647,1
33820,34719,1
33820,34733,1
33820,34802,1
33820,34955,2
33820,34960,1
33820,34968,1
33820,35010,1
33820,35029,1
33820,35075,1
33820,35111,1
33820,35149,1
33820,35250,1
33820,35251,1
33820,35261,1
33820,35281,1
33820,35369,1
33820,35376,3
33820,35458,1
33820,35524,1
33820,35529,1
33820,35783,1
33820,35785,1
33820,36251,1
33820,36266,1
33822,34066,1
33822,34101,1
33822,34298,1
33822,35102,1
33822,35168,1
33822,35169,1
33822,35289,1
33822,35875,1
33822,36001,1
33823,34750,1
33823,34955,1
33823,35376,1
33823,35587,1
33823,35637,1
33823,35825,1
33823,35872,1
33826,34630,1
33826,35092,1
33826,35102,1
33826,35264,1
33826,35271,1
33826,35339,1
33826,35524,1
33826,35588,1
33826,36250,1
33829,34279,1
33829,34581,1
33829,34955,1
33829,35289,1
33829,35545,1
33829,35588,1
33829,35629,1
33829,35836,1
33829,36061,1
33834,33849,1
33834,33882,1
33834,33901,1
33834,33917,1
33834,34601,1
33834,34713,1
33834,35173,1
33834,35384,1
33834,35502,1
33834,35978,1
33835,33901,1
33835,34955,1
33835,35009,1
33835,35143,1
33835,35240,1
33835,35264,1
33835,35376,1
33835,35384,1
33835,35416,1
33835,35588,1
33835,35917,1
33835,36488,1
33836,33901,1
33836,33931,1
33836,34961,1
33836,35152,1
33840,33918,1
33840,33965,1
33840,34077,1
33840,34093,1
33840,34097,1
33840,34261,1
33840,34298,1
33840,34327,1
33840,34619,1
33840,34700,1
33840,34713,1
33840,34733,1
33840,34737,1
33840,34763,1
33840,34955,3
33840,34960,1
33840,35009,1
33840,35010,1
33840,35022,1
33840,35029,2
33840,35078,1
33840,35111,1
33840,35145,1
33840,35172,1
33840,35178,1
33840,35209,1
33840,35240,1
33840,35245,1
33840,35250,1
33840,35251,1
33840,35264,1
33840,35281,1
33840,35293,1
33840,35325,1
33840,35358,1
33840,35376,1
33840,35377,1
33840,35410,1
33840,35517,2
33840,35524,2
33840,35588,2
33840,35629,1
33840,35724,1
33840,35749,1
33840,35781,1
33840,35783,1
33840,35785,1
33840,35937,1
33840,36289,1
33840,36328,1
33840,36430,1
33840,36474,1
33840,36515,1
33840,36519,1
33841,33901,1
33841,35168,1
33841,35588,1
33842,34117,1
33843,33851,1
33843,34174,1
33843,34212,1
33843,34344,1
33843,34553,1
33843,34713,1
33843,34955,1
33843,34978,1
33843,35034,1
33843,35117,1
33843,35123,1
33843,35125,1
33843,35172,1
33843,35250,1
33843,35353,1
33843,35392,1
33843,35915,1
33843,36247,1
33843,36476,1
33844,34090,1
33844,34713,1
33844,34955,1
33844,34961,1
33844,34982,1
33844,35152,1
33844,35238,1
33844,35264,1
33844,35376,1
33844,35406,1
33844,35856,1
33844,35875,1
33844,36128,1
33848,33860,1
33848,34742,1
33848,35279,1
33849,33882,1
33849,33901,2
33849,33917,1
33849,33923,1
33849,33930,1
33849,33933,1
33849,34601,1
33849,34697,1
33849,34713,1
33849,34779,1
33849,34955,1
33849,35173,1
33849,35245,1
33849,35376,1
33849,35384,1
33849,35502,1
33849,35978,1
33851,34212,1
33851,34553,1
33851,34713,1
33851,34978,1
33851,35123,1
33851,35250,1
33860,34037,1
33860,34308,1
33860,34742,1
33860,34955,1
33860,35030,1
33860,35075,1
33860,35102,1
33860,35174,1
33860,35279,1
33860,35282,1
33860,35350,1
33860,35449,1
33860,35946,1
33861,33965,1
33861,34066,1
33861,34318,1
33861,35279,1
33861,35412,1
33861,35588,1
33861,36463,1
33861,36469,1
33862,34212,1
33862,34955,1
33862,35376,1
33862,35410,1
33862,36362,1
33864,33880,1
33864,33901,1
33864,34037,1
33864,34041,1
33864,34066,1
33864,34097,1
33864,34101,1
33864,34287,1
33864,34357,1
33864,34512,1
33864,34529,1
33864,34536,1
33864,34565,1
33864,34955,1
33864,35010,1
33864,35061,1
33864,35098,1
33864,35102,1
33864,35168,1
33864,35259,1
33864,35376,2
33864,35404,1
33864,35923,1
33868,34404,1
33868,35143,1
33868,35224,1
33868,35286,1
33868,35376,1
33868,35380,1
33868,35454,1
33870,34984,1
33870,35169,1
33871,33941,1
33871,34218,1
33871,34735,1
33871,34747,1
33871,34757,1
33871,34959,1
33871,35264,1
33871,35290,1
33871,35376,1
33871,35404,1
33871,35412,1
33871,35420,1
33871,35897,1
33871,36404,1
33871,36488,1
33875,33901,1
33875,33908,1
33875,34713,1
33875,34725,1
33875,34742,1
33875,34955,1
33875,34998,1
33875,35002,1
33875,35068,1
33875,35132,1
33875,35245,1
33875,35283,1
33875,35786,1
33875,35875,1
33875,36327,1
33880,33901,2
33880,34041,1
33880,34066,1
33880,34095,1
33880,34273,1
33880,34287,1
33880,34343,1
33880,34357,1
33880,34529,1
33880,34536,1
33880,34713,1
33880,34955,1
33880,34978,1
33880,35009,1
33880,35010,2
33880,35061,1
33880,35068,1
33880,35102,2
33880,35161,1
33880,35259,1
33880,35261,1
33880,35264,1
33880,35273,1
33880,35282,1
33880,35297,1
33880,35369,1
33880,35376,1
33880,35380,1
33880,35384,1
33880,35385,1
33880,35404,1
33880,35427,1
33880,35450,1
33880,35918,1
33880,35936,1
33880,35964,1
33880,36061,1
33880,36446,1
33881,34971,1
33881,35856,1
33881,35935,1
33882,33901,1
33882,33917,1
33882,34601,1
33882,34713,1
33882,35173,1
33882,35384,1
33882,35502,1
33882,35978,1
33886,33925,1
33886,34298,1
33886,34802,1
33886,35009,1
33886,35096,1
33886,35243,1
33886,35282,1
33886,35937,1
33886,35969,1
33901,33902,1
33901,33908,2
33901,33913,1
33901,33917,1
33901,33923,1
33901,33930,1
33901,33931,1
33901,33933,1
33901,33944,1
33901,33965,2
33901,34009,1
33901,34018,1
33901,34029,3
33901,34037,1
33901,34041,2
33901,34042,1
33901,34047,1
33901,34053,1
33901,34065,1
33901,34066,2
33901,34093,1
33901,34095,1
33901,34101,1
33901,34134,1
33901,34161,1
33901,34184,1
33901,34230,2
33901,34240,1
33901,34251,1
33901,34256,2
33901,34271,1
33901,34272,1
33901,34273,1
33901,34279,1
33901,34282,1
33901,34286,2
33901,34287,2
33901,34298,5
33901,34308,1
33901,34319,1
33901,34329,1
33901,34343,1
33901,34344,1
33901,34353,1
33901,34357,1
33901,34358,1
33901,34366,2
33901,34373,1
33901,34375,1
33901,34380,1
33901,34382,1
33901,34407,1
33901,34431,1
33901,34435,1
33901,34454,1
33901,34461,1
33901,34507,1
33901,34529,1
33901,34536,2
33901,34575,1
33901,34583,1
33901,34585,1
33901,34590,1
33901,34600,1
33901,34601,1
